,Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,state
1435,11/21/2011,1,N,Y,,W,M,21,,,2,A;A,M;M,Houston Police Department,The officers were advised of an armed suspect being in the area. The officers found the suspect and saw that he had a weapon. The suspect was advancing towards the officers forcing the officers to shoot him.,Houston,TX
1436,11/23/2011,1,U,Y,,B,M,U,,,1,B,M,Houston Police Department,Officer was notified of a burglary of a motor vehicle in progress. When the officer went to investigate he found the suspects to be leaving the location. The suspects then stopped their car and shot at the officer. The officer returned fire but does not believe to have shot any of the suspects.,Houston,TX
1437,11/30/2011,1,F,Y,,L,M,19,,,1,L,M,Houston Police Department,The officer was conducting surveillance when he saw an armed suspect approaching his vehicle. The suspect then got into the passengers seat of the officers car with his weapon pointing at the officer. The officer was forced to shoot the suspect.,Houston,TX
1438,12/25/2011,1,F,N,"Victim armed with ""Physical Force.""",W,M,24,,,1,B,M,Houston Police Department,Officer saw a suspect vehicle ram into another vehicle. The officer then approached the suspect who was now out of the vehicle and attempted to gain control of him but a physical altercation occurred. The suspect over powered the officer causing the officer to shoot him.,Houston,TX
1439,12/29/2011,1,N,N,"Victim armed with ""Vehicle."" Officer off-duty.",B,M,23,,,1,B,M,Houston Police Department,Officer returned to his vehicle to find that a suspect had forced his trunk open and was going through its contents. The officer identified himself at which time the suspect jumped into a nearby vehicle and drove at the officer causing the officer to shoot and injury the suspect.,Houston,TX
1440,12/29/2011,1,N,N,Officer off-duty. Victim armed with knife.,L,M,32,,,1,L,M,Houston Police Department,THe officer was attempting to control a disturbance when a suspect armed with a knife approached the officer. The suspect refused to stop causing the officer to have to shoot him.,Houston,TX
1441,1/4/2012,1,N,Y,Officer off-duty. No hits.,L,M,23,,,1,L,M,Houston Police Department,The suspect was involved in a physical altercation with the officer. The male suspect then went to his vehicle and retrieved a weapon which he discharged twice. The suspect and his companion ran to their vehicle and as they were driving off the suspect pointed the weapon at the officer causing the officer to fire at the suspect's vehicle,Houston,TX
1442,1/7/2012,1,N,N,"Victim armed with ""Physical Force.""",B,M,29,,,1,W,M,Houston Police Department,Suspect was involved in a physical altercation with the officer following a vehicle pursuit. The suspect physically assaulted the officer and made attempts to get the officers weapon out of its holster before the officer was able to push the suspect away from him. This allowed the officer to draw his weapon and shoot the suspect.,Houston,TX
1443,1/13/2012,1,N,N,"Victim armed with ""Physical Force.""",L,M,21,,,1,B,M,Houston Police Department,The officer was attempting to arrest a suspect who was caught trying to steal a car. The suspect fought the officer and tried to get the officers weapon. The officer fired one time at the suspect but did not hit him.,Houston,TX
1444,2/16/2012,1,N,Y,,B,M,69,,,1,B,M,Houston Police Department,Narcotics unit was executing a search warrant at a residence and when they gained entry a suspect was found inside with a shotgun. The suspect raised the shotgun toward the officers causing an officer to shoot the suspect.,Houston,TX
1445,2/26/2012,1,N,U,No hits.,L,M,U,,,1,L,M,Houston Police Department,Officer arrived on scene to find a burglary in prgress. As he tried to control the suspects; one of them walked to a vehicle and appeared to get soemthing out of it. The suspect then made a move toward the officer. The officer believed the suspect to be armed so he shot at him.,Houston,TX
1446,3/31/2012,1,N,N,Officer off-duty.,B,M,U,,,1,B,M,Houston Police Department,Officer heard the alarm sounding from his vehicle. He went outside to check on the vehicle. He observed the suspect fleeing from his vehicle. THe officer attempted to block his path when he noticed that the suspect was carrying an object that he believed to be a weapon. The officer fired at the suspect but did not hit him. the suspect was able to jump a fence and flee from the location.,Houston,TX
1447,4/2/2012,1,N,N,No hits.,B,M,28,,,1,L,M,Houston Police Department,Officers stopped an individual who they observed to be violating municipal ordinances. The suspect ran from the officers and during the pursuit he made gestures which made the pursing officer believe that the suspect was armed and attempting to draw a weapon. This action caused the officer to fire at the suspect.,Houston,TX
1448,4/4/2012,1,N,N,,B,M,23,,,2,W;W,M;M,Houston Police Department,Felony suspect ran from officers who were attempting to arrest him. Officer chased suspect to an apartment where the officer attempted to arrest him. The suspect pushed the officer against the wall and then reached toward his waitband area. the officer shot the suspect fearing that thet suspect was reaching for a weapon.,Houston,TX
1449,4/18/2012,1,F,Y,,B,M,28,,,1,W,M,Houston Police Department,An armed suspect approached three undercover officers and attempted to rob them. The officers were able to produce their weapons and shoot the suspect.,Houston,TX
1450,5/2/2012,1,N,Y,,B,M,17,,,3,A;L;L,M;M;M,Houston Police Department,Officers observed a suspicious person run into a business. The officers stopped to in vestigate and when they entered the business they saw an armed suspect behimd the counter. The officers fired at the suspect when the suspect turned his weapon towards them.,Houston,TX
1451,5/7/2012,1,F,Y,,B,M,26,,,1,W,M,Houston Police Department,Disturbance suspect was located walking on the suspect. The suspect was ordered to stop. The suspect stopped and then turned toward the officers with a weapon in his hands. The officers told the suspect to drop the weapon but he pointed it at the officers so the officers shot the suspect.,Houston,TX
1452,5/16/2012,1,N,Y,,B,M,49,,,1,W,M,Houston Police Department,Officers recived a call in which the suspect had just shot two persons. The officers found the suspect and were attempting to apprehend him when the suspect produced a weapon and pointed it at the officers. In response; the officers shot the suspect.,Houston,TX
1453,5/17/2012,1,N,N,No hits.,B,M,36,,,1,B,M,Houston Police Department,The officer was attempting to gain control of a suspect when the suspect lunged at the officer yelling to shoot him causing the officer to discharged one time.,Houston,TX
1454,5/18/2012,1,F,N,Victim armed with knife.,B,M,24,,,1,B,M,Houston Police Department,Suspect was holding a person at knife point when the officers arrived at the scene. The suspect then attempted to stab the person but the person was able to grab the suspects hand. The officers shot the suspect thereby keeping th person from sustaining any more injuries.,Houston,TX
1455,5/24/2012,1,F,N,Victim armed with knife.,B,M,51,,,2,L;W,M;M,Houston Police Department,Officers were conducting a surveillance assignment when the suspect approached the vehicle they were in and confronted them. The suspect keyed the vehicle with a box cutter and then attacked one of the officers with the box cutter causing the officers to shoot the suspect.,Houston,TX
1456,6/12/2012,1,N,Y,No hits. Officer off-duty.,L,M,44,,,1,B,M,Houston Police Department,Two suspects in a vehicle were observed firing a weapon as they approached the officers patrol car. It was believed that the suspects were shooting at the officer so he exited the vehicle. The suspects continued to drive toward him while firing a weapon so the officer returned fire.,Houston,TX
1457,6/19/2012,1,N,Y,,B,M,32,,,1,B,M,Houston Police Department,Officer was attempting to gain control of an armed suspect when the suspect pointed his weapon at a passing vehicle. The officer believed that the suspect was going to shoot the occupants of the vehicle so he was forced to shoot the suspect.,Houston,TX
1458,6/21/2012,1,N,Y,No hits.,B,M,26,,,1,W,M,Houston Police Department,The officer saw the suspect point a weapon at another person. The offier then chased the suspect on foot and twice during the pursuit the suspect turned to face the officer while reachinf for his weapon causing the officer to shoot at the suspect.,Houston,TX
1459,6/27/2012,1,F,Y,,B,M,39,,,4,W;W;W;W,M:M;M;M,Houston Police Department,Officers responded to a scene in which multiple persons were reported to be shot. Upon arrival the suspect fired at the responding officers. The officers exchanged gunfire with the suspect who then forced a citizen from their vehicle and fled. As the officers pursued the suspect; the suspect continued to fire at the officers. The suspect eventually wrecked the vehicle and when the officers approached to apprehend him; they found the suspect unresponsive.,Houston,TX
1460,7/9/2012,1,F,N,,L,M,54,,,1,W,F,Houston Police Department,Officers attempted to contain a group of males fitting the description of those involved in an assault in progress. One of the males was ignoring verbal commands. He was reaching into his waistband area as he was turning towards the officers. One of the reponding officers belived that he was reaching for a weapon so the officer shot the suspect.,Houston,TX
1461,7/22/2012,1,N,N,No hits.,L,M,37,,,1,L,M,Houston Police Department,The officers were conducting a felony traffic stop after a pursuit ended by the suspect wrecking his vehicle. The suspect got out of the car but then reached back into the vehicle to get something. The suspect then made an erratic movement causing the officers to believe he had retrieved a weapon from the car and was going to shoot at them. An officer fired his weapon at the suspect but did not hit him.,Houston,TX
1462,8/7/2012,1,F,Y,,B,M,33,,,1,W,M,Houston Police Department,Officer responded to a call in which the suspcet had called his wife and threatened to go to her job and kill her. Upon arriving; the officer found the suspect and saw that he was hiding his hand behind his back. THe suspecty then made a sudden movement with his hand causing the officer to shoot the suspect.,Houston,TX
1463,8/18/2012,1,U,Y,Officer off-duty.,U,U,U,,,1,B,M,Houston Police Department,Shots were heard outside a church during a funeral in which an officer was attending. The officer went outside and was told that the shooter had gotten into a vehicle. the officer saw the vehicle as it was leaving and began to run after it. The officer saw the back passenger window down and then heard another gunshot. The officer belived that he was being shot at and returned fire. The vehicle then sped away from the location.,Houston,TX
1464,8/21/2012,1,N,Y,,B,M,23,,,1,L,M,Houston Police Department,A burglary suspect was fleeing on foot when he turned and fired a weapon at the officer who was chasing him. The officer returned fire and shot the suspect in the leg.,Houston,TX
1465,9/13/2012,1,F,N,Victim armed with knife.,B,M,26,,,2,L;W,M;M,Houston Police Department,"Officers arrived at a scene to find a large group of people involved in a disturbance. As the officers tried to get control of the crowd, a suspect armed with a knife confronted the officers. The armed suspect refused to comply with the verbal commands of the officers forcing them to shoot him.",Houston,TX
1466,9/16/2012,1,N,N,,L,M,26,,,3,W;W:W,M;M;M,Houston Police Department,"Officers responded to an armed suspicious person call. The suspect was located and as the officers were giving verbal commands to the suspect, the suspect reached to the small of his back and pointed an object at the officers. The officers fired at the suspect striking him one time.",Houston,TX
1467,9/20/2012,1,N,Y,,B,M,31,,,1,B,M,Houston Police Department,The officer located a murder suspect walking down the street. The officer approached the suspect who then stopped and turned toward the officer while raising a weapon towards the officer causing the officer to shoot the suspect.,Houston,TX
1468,9/22/2012,1,N,N,No hits.,B,M,U,,,1,B,F,Houston Police Department,Officers were in the process of detaining the occupants of a vehicle who were reported to have just robbed a convenience store. The passenger of the vehicle got out of the car and appeared to be getting on the ground but instead charged at one of teh officers. The officer fired at the suspect but missed. The suspect fled from the scene.,Houston,TX
1469,9/22/2012,1,F,N,"Victim armed with a ""pen.""",W,M,45,,,1,L,M,Houston Police Department,The officers arrived at the scene of a disturbance call and were informed that the suspect was being violent and threatened to kill the other residents at the location. The officers confronted the suspect at which time the suspect was moving towards one of the officers with an object in his hand and he was making slashing movements. The other officer fearing that he was armed with a knife fired his weapon at the suspect.,Houston,TX
1470,9/24/2012,1,N,N,No hits.,L,M,25,,,1,L,M,Houston Police Department,A burglary suspect was being chased by officers when he went into a back yard to hide. The officer attempted to open the gate but it would not open so he peered through the gate and saw the suspect reaching for his waistband. The officer shot at the suspect but did not hit him. The suspect then fled the scene.,Houston,TX
1471,10/11/2012,1,F,N,,B,M,27,,,1,B,M,Houston Police Department,The suspect of a suspicious person call confronted the officer with his hand behind him as if he had a weapon. The suspect then moved towards the officer causing the officer to have to discharge his weapon at the suspect.,Houston,TX
1472,11/4/2012,1,F,Y,,B,M,46,,,2,W;W,M;M,Houston Police Department,The suspect pointed a shotgun at officers who had responded to a suspicious person call. The officers fired at the suspect but missed at which time the suspect went into his home. SWAT was called and as they were going to gain entry into the home they were fired upon causing them to return fire.,Houston,TX
1473,11/16/2012,1,N,N,No hits.,B,M,21,,,1,W,M,Houston Police Department,The officer was chasing a robbery suspect when the suspect slowed to a walk and was reaching into his pocket as he was turning to ward the officer. The officer believed the suspect was reaching for a weapon so he fired at the suspect but did not hit him.,Houston,TX
1474,11/19/2012,1,N,Y,No hits.,B,M,37,,,1,L,M,Houston Police Department,"Officer was notified that an armed suspect was threatening to kill himself. When the officer pulled into the parking lot where the suspect was reported to be, the suspect shot at the officer. THe officer returned fire but missed. the suspect then ran from the scene but was chased and arrested by the officer.",Houston,TX
1475,12/23/2012,1,N,Y,,B,M,43,,,1,W,M,Houston Police Department,"The suspect fired at the officer as the officer was arriving at an assault in progress call. The suspect then fled ina vehicle. The vehicle was pursued and at the conclusion of the pursuit, the suspect got out of the vehicle with a shotgun and pointed it at the officers causing them to shoot at the suspect.",Houston,TX
1476,12/26/2012,1,N,N,"Suspect armed with 'Vehicle.""",B,M,41,,,1,W,M,Houston Police Department,The suspect refused to get out of the car as order by the officers. Instead the suspect drove at the officer hitting him with the vehicle. The officer attempted to get out of the vehicles path but the suspect drove at the officer again. During this exchange the officer was able to shoot at the vehicle multiple times.,Houston,TX
1477,1/12/2013,1,N,Y,,B,M,23,,,1,W,M,Houston Police Department,"On duty police units arrived to scene when a suspect previously displayed a weapon. Suspect refused verbal commands, reaches for his weapon, and put officers in fear of their life. Suspect was shot twice and is expected to survive.",Houston,TX
1478,1/16/2013,1,N,N,Officer off-duty. NO HITS,W,M,U,,,1,B,M,Houston Police Department,"Off duty officer at home noticed a suspect attempt to break into his parked car. Officer retrieved his firearm, ordered the suspect to halt, suspect charged the officer who fearing for his life fired upon the suspect who escaped. Injuries unknown.",Houston,TX
1479,2/2/2013,1,N,N,Victim armed with vehicle.,B,M,33,,,3,W;L;L,M;M;M,Houston Police Department,"Suspect took complainant's vehicle without consent. Suspect attempted to strike at least two officers with the van while fleeing. The HPD officers in fear of their life/lives of fellow officers, fired and struck the suspect in the leg.",Houston,TX
1480,2/13/2013,1,F,N,Victim armed with a knife.,B,M,34,,,1,W,M,Houston Police Department,"Officers saw the suspect holding the child in his arm, continually putting a knife to the throat of the child. Suspect fled into the bathroom with the child. Officer fearing for the safety of the child, discharged his firearm killing the suspect.",Houston,TX
1481,2/13/2013,1,N,Y,,B,M,32,,,1,L,M,Houston Police Department,Officers attempted to detain a suspect who resisted and reached in his vehicle near the backseat. Officer shot and injured the suspect. A handgun was found in rear seat of vehicle during crime scene processing.,Houston,TX
1482,2/15/2013,1,N,N,No hits. Victim armed with vehicle.,L,M,51,,,2,W;W,M;M,Houston Police Department,"While conducting a felony stop the suspect accelerated his vehicle toward the passenger side of the patrol car. Officers fearing for the passenger side officer's life discharged their firearm, missing the suspect. No injuries; suspect arrested.",Houston,TX
1483,2/28/2013,1,F,N,Victim armed with scissors.,B,M,46,,,1,L,M,Houston Police Department,"Suspect charged at officer with scissors in his hand. Officer fearing for his life, discharged weapon at suspect multiple times. Suspect was struck with multiple rounds and collapsed to the ground and died.",Houston,TX
1484,3/3/2013,1,N,Y,No hits.,L,M,51,,,2,W;W,M;M,Houston Police Department,Suspect discharged a firearm multiple times at HPD officers and citizens. HPD officers discharge their firearms at the suspect and wounded him.,Houston,TX
1485,3/18/2013,1,F,Y,,L,M,33,,,1,W,M,Houston Police Department,"While attempting to conduct a traffic stop, the suspect fired upon a pair of officers and striking one in both arms. The other officer returned fire killing the suspect.",Houston,TX
1486,3/19/2013,1,N,N,,B,M,38,,,1,L,M,Houston Police Department,"While executing a search warrant, the suspect ran into a back room, reached into his waistband, and ignored verbal commands given by the officers. An officer feared the suspect was reaching for a weapon and shot the suspect. A pellet gun was found near suspect.",Houston,TX
1487,3/20/2013,1,N,Y,,L,M,17,,,3,L;L;W,M;M;M,Houston Police Department,"Suspect shot two Jacinto City Officers who questioned him regarding a previous incident. One Officer was wounded in the chest and the other in the arm. Several officers and SWAT responded, suspect shot at officers again, SWAT returned fire and hit suspect in the leg.",Houston,TX
1488,3/23/2013,1,N,Y,,B,M,44,,,2,W;W,M;M,Houston Police Department,"While ringing the doorbell, the patrol officer hears a loud blast from inside. SWAT was notified, attempted a rescue, and received gunfire from the suspect who fled out the back door. Upon exiting the suspect pointed a firearm at SWAT officers who shot the suspect.",Houston,TX
1489,5/31/2013,1,N,Y,,B,M,21,,,1,W,M,Houston Police Department,"While officers were attempting to serve a felony warrant, the suspect opened the door, produced a firearm, and pointed it in their direction. An officer in fear of his life shot and wounded the suspect.",Houston,TX
1490,6/15/2013,1,N,N,Victim armed with vehicle.,B,M,43,,,1,L,M,Houston Police Department,Two HPD officers arrive at location and observed the suspect stabbing the victim. The officers ordered the suspect to cease the attack but the victim refused to comply and placed vehicle in reverse towards the victim. One officer fired and appeared to strike the suspect.,Houston,TX
1491,8/5/2013,1,F,Y,,L,M,28,,,2,W;L,M;F,Houston Police Department,"On duty officers responded to a call of Discharging Firearms. When the officers arrived the suspect began shooting at the responding officers. K-9 officer responding to assist the officer. The suspect tried to shoot the K-9 officer, who returned fire killing the suspect.",Houston,TX
1492,8/7/2013,1,N,Y,No hits.,L,M,52,,,1,W,M,Houston Police Department,On duty officers responded to discharging firearms call for service. The suspect continued shooting his AK-47 at police cars and officers as they arrived. One officer returned fire. The suspect was taken into custody without further incident by SWAT officers.,Houston,TX
1493,8/22/2013,1,N,Y,,B,M,32,,,2,W;A,M;M,Houston Police Department,On duty HPD officers responded to a robbery. One susp. was arrested and handcuffed. Susp produced a weapon fired at HPD SGT. who returned fire; susp fled the building firing at a second officer who returned fire. Susp fled and was found later with gunshot wounds.,Houston,TX
1494,9/1/2013,1,F,Y,,L,M,28,,,1,L,M,Houston Police Department,"Responded to a disturbance where witnesses said the suspect had a weapon. The officers demanded the suspect remove his hands from his pockets, suspect produced a weapon, one officer fired multiple time striking and killing the suspect.",Houston,TX
1495,9/25/2013,1,F,Y,,L,M,55,,,1,W,M,Houston Police Department,HPD SWAT officers were assisting HPD Narcotic Officers execute a search warrant. The suspect was shot and killed during the no-knock warrant entry after the suspect pointed a firearm at the officers.,Houston,TX
1496,9/30/2013,1,N,N,"Victim armed with ""Glass shard.""",W,M,24,,,1,W,M,Houston Police Department,Suspect dives outside of a house through a window and refuses to comply with officer's commands. The suspect charges the officer with a glass shard in hand. The officer in fear for his life shoots the suspect twice. The suspect is hospitalized but expected to survive.,Houston,TX
1497,10/24/2013,1,F,N,Victim armed with knife.,B,M,22,,,1,L,M,Houston Police Department,Suspect ignored officer's commands to drop the knife. Suspect attempted to stab a female and an officer in fear of the complainant's life shot and killed the suspect.,Houston,TX
1498,11/3/2013,1,N,Y,,B,M,17,,,1,L,M,Houston Police Department,"The suspect was observed driving a reportedly stolen vehicle during the course of apprehension, the suspect refused verbal commands and attempted to extricate the officer's duty weapon. In response the officer discharged his weapon at the suspect striking him on the left side.",Houston,TX
1499,12/1/2013,1,N,N,No hits.,L,M,24,,,1,L,M,Houston Police Department,An officer responded to an Assist the Officer call. The suspect was inside with the complainant and refused to exit the apartment. As an officer approached the back window it exploded outward putting the officer in fear of his life and fired into the apartment. There were no injuries and suspect sent to a psychological center.,Houston,TX
1500,12/9/2013,1,N,N,No hits.,W,M,30,,,1,W,M,Houston Police Department,"The suspect made forced entry into the complainants residence in an attempt to take several articles. The responding officer was charged by the suspect causing the officer to discharge his firearm one time, missing the suspect. The suspect was arrested and charged.",Houston,TX
1501,12/26/2013,1,U,N,Victim armed with vehicle.,B,M,U,,,1,B,M,Houston Police Department,The officer pulled into a parking lot and observed an unknown BM exiting the store carrying a box with store clerk in pursuit. The officer commanded the suspect to stop. The suspect was able to get into his vehicle and attempted to run over the officer. The officer pulled his weapon and discharged twice at the suspect's vehicle. The suspect fled the scene. It unclear if the suspect was injured.,Houston,TX
1502,1/12/2014,1,N,Y,No hits. Officer off-duty.,W,M,22,,,1,L,M,Houston Police Department,"Two officers working a uniformed extra job responded to an on-viewed assault. Upon arriving at the vehicle where the assault occurred, one officer saw a pistol between he legs of the suspect who drove off and fired a single shot. The officer returned fired and shortly afterwards the suspect was apprehended.",Houston,TX
1503,1/13/2014,1,N,N,Victim armed with knife.,W,M,36,,,1,W,M,Houston Police Department,"Two patrol officers responded to a domestic distubance call at an apartment complex. Upon arrival, officers asked complainant questions regarding the distubance, before she could answer, suspect opened the door and charging at officers with a knife. Officer discharged two time at suspect, suspect expected to suvive.",Houston,TX
1504,1/16/2014,1,F,N,Officer off-duty.,B,M,26,,,1,L,M,Houston Police Department,"Off-duty officer working an extra-job confronted a suspicious suspect looking in the windows of closed businesses. When the officer challenged the suspect, he ran around a dark corner and made a fertive motion. Officer believed he was in danger discharged his weapon killing the suspect.",Houston,TX
1505,1/19/2014,1,N,Y,,B,M,23,,,1,L,M,Houston Police Department,"Officers located a stolen vehilce, pursued it until it crashed. The driver fled on foot and firing a shot at another officer, who fired his weapon not striking the suspect. Suspect was apprehended with the aid a K-9 unit who after being kicked retaliated against the suspect.",Houston,TX
1506,1/23/2014,1,F,Y,,B,M,24,,,2,W;W,M;M,Houston Police Department,"Police shot and killed a suspected armed robber during a pursuit that ended in a neighborhood near Greenspoint Mall in north Houston. After crashing, the suspect fired upon police, fled on foot, and again raised his firearm at the officer who shot and killed the suspect.",Houston,TX
1507,2/27/2014,1,N,N,"Victim armed with ""lumber.""",B,M,54,,,1,W,M,Houston Police Department,"On-duty officer was informed that the suspect had stolen an item. The officer followed the suspect into the street and identified himself. Suspect walked away, picked up a piece of lumber and swinging it at officer in close range. Fearing for his life, the officer discharged his firearm and shot him in the arm.",Houston,TX
1508,3/17/2014,1,F,N,"Victim armed with ""Physical Force.""",B,M,26,,,1,A,M,Houston Police Department,"The officer gained initial control of the robbery suspect and was bale to place one cuff on him prior to the suspect breaking free. the officer followed the suspect, maintaining a safe distance, as the suspect would walk and then stop to threaten t he officer. The gap between the officer and the suspect continued to diminish until the officer felt that the suspect was intent on injuring him or that the suspect wanted the officer to shoot him. The officer discharged his weapon striking the complainant in the chest - killing him.",Houston,TX
1509,3/18/2014,1,N,N,,B,M,34,,,1,B,M,Houston Police Department,Officers responded to a family violence call. When officers entered the residence the suspect ran to the front of the house spun around in a shooting position pointing something black at the officers. One officer discharged his weapon striking the suspect in the chest. The suspect was transported to Ben Taub.,Houston,TX
1510,3/20/2014,1,U,Y,,B,M,U,,,1,L,M,Houston Police Department,Officers responded to loud noise complaint and were advised that occupants of a vehicle were shooting at persons. The suspected vehicle was driving at the officers. The officers attempted to move to safety but the vehicle swerved toward the officer. The officer discharged his weapon at the vehicle. Unknown if anyone was injured.,Houston,TX
1511,5/1/2014,1,N,N,"Victim armed with ""metal pole.""",B,M,27,,,1,B,M,Houston Police Department,Person was a suspect to a home invasion call. Officer found him weilding a iron pole and swinging at the officers. Stun guns were deployed but did not affect the suspect. A bean bag shot gun was going to be deployed at which time the suspect began moving toward the officers with the metal pipe. Officer discharged his firearm striking the suspect.,Houston,TX
1512,7/29/2014,1,N,N,Victim was a juvenile so info protected.,U,U,U,,,1,L,M,Houston Police Department,Burglary suspect fled on foot. Officer pursued suspect. The suspect reached toward waistband when officer caught the suspect. Officer discharged forearm striking the suspect in the leg,Houston,TX
1513,8/13/2014,1,F,Y,,L,M,40,,,1,W,M,Houston Police Department,"HPD officers conducted a traffic stop in Harris County that originated within the city limits of Houston. The suspect ignored officer commands, yelled obscenities, and grabbed a gun. In fear of his life, the officer shot and killed the suspect.",Houston,TX
1514,8/13/2014,1,F,Y,,W,M,28,,,1,L,M,Houston Police Department,"Officers were dispatched to a suspicious persons call, arrived on scene, and located the individual. The suspect was grabbed by an officer and a struggle ensued. The suspect discharged his firearm striking the officer's vest along his left side. The wounded officer shot and killed the suspect.",Houston,TX
1515,9/23/2014,1,N,N,"Victims armed with ""vehicles.""",B,M,25,,,2,W;W,M;M,Houston Police Department,"Officer responded to a wanted suspect being at location. Officers arrived and observed the suspect inside a vehicle. When they attempted to apprehend him, he tried to run over the officers with his vehicle. Officers discharged their duty weapons and wounded him. Officers treated with minor injuries.",Houston,TX
1516,9/30/2014,1,F,Y,,W,M,32,,,2,L;A,M;M,Houston Police Department,"The suspect was stopped on traffic. The suspect produced a weapon and fired at officer. The officer and suspect began struggling over the gun. The officer's partner commanded the suspect to drop the weapon but refused. In fear of officer's live, officer discharged his weapon and killed the suspect.",Houston,TX
1517,10/1/2014,1,F,Y,,W,M,34,,,1,W,M,Houston Police Department,"The Liverpool Police Department pursued a suspect into the City of Pearland and then Houston which triggered a response by HPD officers. The suspect bailed out of his vehicle with a shotgun. An HPD officer dischared his duty weapon, killing the suspect. No officers were injured.",Houston,TX
1518,10/6/2014,1,F,Y,,L,M,36,,,2,B;W,M;M,Houston Police Department,"The suspect forced a female at gun point to return to her vehicle and drive to a known location. The suspect barricaded himself and the complainant into the vehicle and would not come out. After HPD SWAT arrived, the suspect exited the vehicle with a weapon and was shot and killed by two officers.",Houston,TX
1519,10/18/2014,1,N,N,"No hits. Victim armed with ""vehicle.""",W,M,55,,,1,B,M,Houston Police Department,Officers attempted to perform a felony stop with their weapons drawn when the suspect placed the vehicle in reverse and backed toward the officers. One officer discharged his weapon but the suspect sped away. The suspect's vehicle came to a stop and he ran away on foot. No arrests made at this time.,Houston,TX
1520,10/22/2014,1,N,Y,,B,M,34,,,1,W,M,Houston Police Department,"An on-duty, plain clothes HPD officer on-viewed a robbery. The officer intervened and discharged his firearm at the suspect. All three suspects left the location in a vehicle. It was learned later that one of the suspects was injured by one of the gunshots.",Houston,TX
1521,11/12/2014,1,N,Y,,L,M,26,,,1,W,M,Houston Police Department,"Officer was working an investigation and trying to get a suspect into custody. During the struggle , the suspect fired several rounds at officer and officer returned fire. The suspect then stole the patrol vehicle and left the location. The suspect crashed the patrol vehicle into a tree and was later taken into custody.",Houston,TX
1522,12/8/2014,1,N,Y,Officer off-duty. No hits.,B,M,33,,,1,W,M,Houston Police Department,"An officer working an extra job received a call of a man walking around the complex with a gun. The officer located the suspect and announced his presence. The suspect turned towards the officer with the shotgun in the ready position. In fear of his life, the officer discharged his firearm but missed the suspect.",Houston,TX
1523,12/12/2014,1,N,N,,B,M,38,,,2,L;B,M;M,Houston Police Department,"The front seat passenger ignored the officer's commands and continued to reach under the car seat. Fearing for his saftey the officer discharged his weapon. The suspect fled on foot, made additional furtive movements and was shot, injured, and transported to the hospital and expected to recover.",Houston,TX
1524,12/15/2014,1,N,Y,,B,M,20,,,1,L,M,Houston Police Department,The officer received a description of the suspect. The suspect was located and give foot prsuit into a parking gargage. The officer made contact with the suspect at which the suspect raised a pistol in the direction of the officer and was shot by the officer. The susepct was taken to hospital with non-life injuries.,Houston,TX
1525,12/17/2014,1,N,Y,,B,M,32,,,1,L,M,Houston Police Department,"Officers were dispatched to suicide with pistol. Upon arrival, officers contacted the suspect but ignored officer's instructions multiple times. When suspect reached for his waistand, the officer knowing the suspect had a pistol, fired once at suspect. Suspect taken to hospital with non-life threatening injuries.",Houston,TX
1526,1/9/2015,1,N,Y,,L,M,20,,,1,A,M,Houston Police Department,"An HPD officer was responding to a home invasion in progress call when he confronted the suspect upon his arrival to the scene. The suspect pointed a pistol at the officer and the officer, in fear of his life, discharged his duty weapon striking the suspect three times. The suspect was in critical condition.",Houston,TX
1527,1/9/2015,1,N,N,,L,M,19,,,1,L,M,Houston Police Department,"Officer responded to a burglary in progress by three HMs. The officer spotted one of the males, instructed him to show his hands and get on the ground. The suspect raised his hands above his head as if to surrender then quickly dropped them toward his waist. As a result, the officer shot and injured the suspect.",Houston,TX
1528,1/16/2015,1,F,Y,Officer off-duty.,L,M,26,,,1,W,M,Houston Police Department,HPD officer working an extra job at a bar confronted the suspect who was carrying a handgun outside the location. The suspect ignored the officer's commands to drop the weapon. The suspect pointed his gun at the officer and the officer in fear of his life shot and killed the suspect.,Houston,TX
1529,1/19/2015,1,N,N,Officer off-duty. No hits.,B,,U,,,1,A,N,Houston Police Department,"While an off duty HPD officer was refueiling his car, a black male was spotted inside the officer's vehicle burglarizing it. The officer, in fear the suspect would steal his weapon inside the vehicle, grabs his firearm and fired upon the getaway vehicle because the driver had appeared to be reaching down for something.",Houston,TX
1530,4/2/2015,1,N,N,,B,M,26,,,1,W,M,Houston Police Department,Officers pursued a suspect in a vehicle and then on foot. The suspect ran into a wooded area. The officer believed he saw a weapon so he discharged his firearm at the suspect - striking the suspect and another officer.,Houston,TX
1531,4/13/2015,1,F,Y,Officer off-duty.,L,M,24,,,1,L,M,Houston Police Department,A robbery suspect who was attempting to steal a vehicle was confronted by citizens at the location. An officer who was working an extra job nearby arrived at the location and approached the vehicle. As he approached he saw the suspect point a weapon at him. The officr fired his weapon and killed the suspect.,Houston,TX
